employee_name,user_id_x,email,role,business_unit,functional_unit,department,team,supervisor,user_type,user_id_y,o_score,c_score,e_score,a_score,n_score,join_date,last_active,user_id
Calvin Edan Love,CEL0561,Calvin.Edan.Love@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,Employee,CEL0561,40,39,36,19,40,2021-01-01,2024-07-08 19:50:38.956628,96bf9e52f61af1ff100b51963be57983aa13997836c0751f1fe370a517b5d54b
Christine Reagan Deleon,CRD0624,Christine.Reagan.Deleon@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,Employee,CRD0624,26,22,17,39,32,2021-01-01,2024-07-08 19:50:38.956628,840c2fe4a11b7a814c9ed6576c765a3656351a2440d1e2d57aa9fb7068b83974
Jade Felicia Caldwell,JFC0557,Jade.Felicia.Caldwell@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,Employee,JFC0557,22,16,23,40,33,2021-01-01,2024-07-08 19:50:38.956628,27ccfe20592687011a4df670aa408773b964add076e1157066cea917ca299bb2
Aquila Stewart Dejesus,ASD0577,Aquila.Stewart.Dejesus@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,Employee,ASD0577,40,48,36,14,37,2021-01-01,2024-07-08 19:50:38.956628,82166c2da99f7a97fdc410a1b3c3742217a8c329d4225d9da706dd1a2638c381
Micah Abdul Rojas,MAR0955,Micah.Abdul.Rojas@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,Employee,MAR0955,36,44,23,44,25,2021-01-01,2024-07-08 19:50:38.956628,2610f2ad82d25ef93b4f2bc9d76f5b6b26bad2a173967d3777627b2e3705d07d
Gail Rhiannon Mcconnell,GRM0868,Gail.Rhiannon.Mcconnell@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,Employee,GRM0868,21,25,20,13,28,2021-01-01,2024-07-08 19:50:38.956628,30f5baa869f7a1cca1eb9bd0c596cadc6d62efdaa9bf53c16a692d000cf47c35
April Alika Levy,AAL0706,April.Alika.Levy@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,Employee,AAL0706,37,14,28,13,25,2021-01-01,2024-07-08 19:50:38.956628,251e61935d68a0b927351a865795291ff09b0ed449657ddc0b0d91336d42895a
Rama Vielka Clayton,RVC0232,Rama.Vielka.Clayton@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,Employee,RVC0232,34,20,47,38,25,2021-01-01,2024-07-08 19:50:38.956628,a6b70718393c03b354ef64dcef77fcf706180ec28beba0062a0f800a7d5b8d95
Tasha Casey Dalton,TCD0009,Tasha.Casey.Dalton@dtaa.com,AdministrativeAssistant,1,1 - Adminstration,nan,nan,Halla Cathleen Simmons,Employee,TCD0009,44,28,44,38,23,2021-01-01,2024-07-08 19:50:38.956628,2cf7e6fe330f2ee26f8984c5cd188a21978968929d746f749a4f87e89ef9e48b
Aurora Sarah Manning,ASM0575,Aurora.Sarah.Manning@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,Employee,ASM0575,42,25,21,45,30,2021-01-01,2024-07-08 19:50:38.956628,c54702769a75976c688260e0243dc9d4311476077a16511ab39ec6c7234b9cec
Devin Abdul Rogers,DAR0885,Devin.Abdul.Rogers@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,Employee,DAR0885,43,43,44,41,25,2021-01-01,2024-07-08 19:50:38.956628,8d87235162cf03b6eae90f56f5cc1256b663a1aca7eee84ee7f95d7342f87a47
Jacqueline Latifah Miles,JLM0364,Jacqueline.Latifah.Miles@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,Employee,JLM0364,35,22,15,25,37,2021-01-01,2024-07-08 19:50:38.956628,58b8709b1bebc3792e75ab2e60586a0c48036e1498c9d19effdbe130f1198e0a
Ferris Omar Barry,FOB0756,Ferris.Omar.Barry@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,Employee,FOB0756,42,41,34,20,27,2021-01-01,2024-07-08 19:50:38.956628,c8ff73ead8d84d743419401bb73c256f952219645333cf1c33cfdb19abba051b
Grant Camden Gay,GCG0951,Grant.Camden.Gay@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,Employee,GCG0951,33,33,25,19,44,2021-01-01,2024-07-08 19:50:38.956628,eccdcc5a6578e9fd0740a64bfd17800cf2652181e7bc7fc018588dbf2382bdbd
Howard Wing Yang,HWY0038,Howard.Wing.Yang@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,Employee,HWY0038,47,39,40,22,24,2021-01-01,2024-07-08 19:50:38.956628,697346cfbea9ff2882c09bb8737f6359e95900f0bfedf334984ba4bac04330d6
Aspen Amber Vinson,AAV0450,Aspen.Amber.Vinson@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,Employee,AAV0450,44,24,36,41,33,2021-01-01,2024-07-08 19:50:38.956628,39ed0159d0aea7b6aa252d201a52044a47ac3cf03248ce7e573bca758fb910e3
Colorado John Valentine,CJV0286,Colorado.John.Valentine@dtaa.com,Technician,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,Employee,CJV0286,18,14,17,13,26,2021-01-01,2024-07-08 19:50:38.956628,f1f48d9d3257e6d908ce35a76e9d2811494460fc6dd15ed022ec9f027f980bb6
Tyrone Damian Garner,TDG0962,Tyrone.Damian.Garner@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,Employee,TDG0962,42,40,36,26,21,2021-01-01,2024-07-08 19:50:38.956628,1b638d9b09adb12dfd6fb8b79b9a43e9092c1030c9dc5066c1066e7cde5a252d
Stephanie Victoria Lyons,SVL0803,Stephanie.Victoria.Lyons@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,Employee,SVL0803,27,35,20,36,32,2021-01-01,2024-07-08 19:50:38.956628,c93a6a2cb772496c8b8f967ff447301f304f8a242c1a1cde6f25e5f97732144d
Quynn Odessa Sanford,QOS0878,Quynn.Odessa.Sanford@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,Employee,QOS0878,18,12,20,16,29,2021-01-01,2024-07-08 19:50:38.956628,eee36bad253090ce89832d8e571528166c9db5e1d45a1244f84e006367350c77
Melyssa Deirdre Morgan,MDM0625,Melyssa.Deirdre.Morgan@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,Employee,MDM0625,18,42,36,27,24,2021-01-01,2024-07-08 19:50:38.956628,498954fe976569b8356ee307e09c0384adc536e6f723d50c248e6ef1bfd27983
Gray Mason Fulton,GMF0738,Gray.Mason.Fulton@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,Employee,GMF0738,30,40,45,20,18,2021-01-01,2024-07-08 19:50:38.956628,2b7446f157a9be80f2a293e7c5c1ef99c7954c21d2162c9c89f80b60ebbd9ac6
Bianca Elizabeth Roach,BER0314,Bianca.Elizabeth.Roach@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,Employee,BER0314,23,20,18,19,32,2021-01-01,2024-07-08 19:50:38.956628,13d77a8905aee12fd17a6449bfc9672e09addf571d003c715d84f215eb03a8b1
Aurelia Martina Reese,AMR0400,Aurelia.Martina.Reese@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,Employee,AMR0400,19,16,47,28,28,2021-01-01,2024-07-08 19:50:38.956628,c7b638b36e18da67c723619be7d8ec6722caa452596f6e9fbd21ea0326e34dc7
Yardley Cairo Elliott,YCE0983,Yardley.Cairo.Elliott@dtaa.com,ManagementTrainer,1,1 - Adminstration,3 - Training,nan,Walter Kaseem Foley,Employee,YCE0983,39,21,42,30,36,2021-01-01,2024-07-08 19:50:38.956628,444ec07c97c8af39f23619f0e710726a9544b382d16e17596db63622bb27d3be
Blaine Jelani Weeks,BJW0619,Blaine.Jelani.Weeks@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,Employee,BJW0619,30,43,47,21,39,2021-01-01,2024-07-08 19:50:38.956628,d5e3834cbac3c197dbfb14758b8359c84a1d1e3c45bee5a98f5c9adc3d898cba
Delilah Pearl Schneider,DPS0262,Delilah.Pearl.Schneider@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,Employee,DPS0262,20,25,20,14,32,2021-01-01,2024-07-08 19:50:38.956628,3ca283889a5b94b7e0c59cb41c443a4c050f801361a03c8fda80fdbb6f08ded4
TaShya Yoko Bailey,TYB0779,TaShya.Yoko.Bailey@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,Employee,TYB0779,24,20,35,36,34,2021-01-01,2024-07-08 19:50:38.956628,72ccc79ccad6d8fd174e9aa8e6b055eecbaab329ac5281ebe15ed2eda030da37
Melissa Ava Stuart,MAS0025,Melissa.Ava.Stuart@dtaa.com,InstructionalCoordinator,1,1 - Adminstration,3 - Training,nan,Walter Kaseem Foley,Employee,MAS0025,23,14,20,21,23,2021-01-01,2024-07-08 19:50:38.956628,8d4c812a30d6e1b246b6773b6908a80343b939b68711740d00322014f5a7f3f8
